Date,Close/Last,Volume,Open,High,Low,Adjusted Close
04/02/2024,96.46,N/A,96.46,96.46,96.46,96.46
04/01/2024,96.52,N/A,96.52,96.52,96.52,96.52
03/28/2024,96.34,N/A,96.34,96.34,96.34,96.34
03/27/2024,96.31,N/A,96.31,96.31,96.31,96.31
03/26/2024,96.35,N/A,96.35,96.35,96.35,96.35
03/25/2024,96.35,N/A,96.35,96.35,96.35,96.35
03/22/2024,96.2,N/A,96.2,96.2,96.2,96.2
03/21/2024,95.99,N/A,95.99,95.99,95.99,95.99
03/20/2024,95.99,N/A,95.99,95.99,95.99,95.99
03/19/2024,95.79,N/A,95.79,95.79,95.79,95.79
03/18/2024,95.79,N/A,95.79,95.79,95.79,95.79
03/15/2024,95.99,N/A,95.99,95.99,95.99,95.99
03/14/2024,95.86,N/A,95.86,95.86,95.86,95.86
03/13/2024,95.83,N/A,95.83,95.83,95.83,95.83
03/12/2024,95.94,N/A,95.94,95.94,95.94,95.94
03/11/2024,95.94,N/A,95.94,95.94,95.94,95.94
03/08/2024,95.88,N/A,95.88,95.88,95.88,95.88
03/07/2024,95.88,N/A,95.88,95.88,95.88,95.88
03/06/2024,95.78,N/A,95.78,95.78,95.78,95.78
03/05/2024,95.72,N/A,95.72,95.72,95.72,95.72
03/04/2024,95.89,N/A,95.89,95.89,95.89,95.89
03/01/2024,95.89,N/A,95.89,95.89,95.89,95.89
02/29/2024,95.559,N/A,95.559,95.559,95.559,95.559
02/28/2024,95.556,N/A,95.556,95.556,95.556,95.556
02/27/2024,95.496,N/A,95.496,95.496,95.496,95.496
02/26/2024,95.691,N/A,95.691,95.691,95.691,95.691
02/23/2024,95.691,N/A,95.691,95.691,95.691,95.691
02/22/2024,95.294,N/A,95.294,95.294,95.294,95.294
02/21/2024,95.299,N/A,95.299,95.299,95.299,95.299
02/20/2024,95.347,N/A,95.347,95.347,95.347,95.347
02/16/2024,95.347,N/A,95.347,95.347,95.347,95.347
02/15/2024,95.126,N/A,95.126,95.126,95.126,95.126
02/14/2024,95.069,N/A,95.069,95.069,95.069,95.069
02/13/2024,95.391,N/A,95.391,95.391,95.391,95.391
02/12/2024,95.391,N/A,95.391,95.391,95.391,95.391
02/09/2024,95.391,N/A,95.391,95.391,95.391,95.391
02/08/2024,95.379,N/A,95.379,95.379,95.379,95.379
02/07/2024,95.35,N/A,95.35,95.35,95.35,95.35
02/06/2024,95.35,N/A,95.35,95.35,95.35,95.35
02/05/2024,95.201,N/A,95.201,95.201,95.201,95.201
02/02/2024,95.194,N/A,95.194,95.194,95.194,95.194
02/01/2024,95.269,N/A,95.269,95.269,95.269,95.269
01/31/2024,95.291,N/A,95.291,95.291,95.291,95.291
01/30/2024,95.258,N/A,95.258,95.258,95.258,95.258
01/29/2024,95.213,N/A,95.213,95.213,95.213,95.213
01/26/2024,95.213,N/A,95.213,95.213,95.213,95.213
01/25/2024,95.286,N/A,95.286,95.286,95.286,95.286
01/24/2024,95.163,N/A,95.163,95.163,95.163,95.163
01/23/2024,95.095,N/A,95.095,95.095,95.095,95.095
01/22/2024,95.066,N/A,95.066,95.066,95.066,95.066
